"ticket_id,emp_id,department,business_unit,ticket_date,ticket_text,category,priority"
"T001,E001,Engineering,Product,2025-01-02,Unable to login to VPN since morning,Login Issue,High"
"T002,E002,HR,Operations,2025-01-03,Payroll portal is not loading,Bug/Error,High"
"T003,E001,Engineering,Product,2025-01-05,Email not syncing on Outlook,Performance Issue,Medium"
"T004,E003,Finance,Corporate,2025-01-06,Application crashes while generating invoice,Bug/Error,High"
"T005,E004,Sales,Business,2025-01-06,CRM dashboard not opening,Performance Issue,High"

"T006,E005,IT Support,Internal,2025-01-07,Need new laptop configuration request,Feature Request,Low"
"T007,E002,HR,Operations,2025-01-08,Unable to reset password for HR system,Login Issue,Medium"
"T008,E006,Engineering,Platform,2025-01-09,Build pipeline failing with error,Bug/Error,High"
"T009,E003,Finance,Corporate,2025-01-10,Payment processing is very slow,Performance Issue,Medium"
"T010,E007,Marketing,Brand,2025-01-11,Marketing dashboard loads very slowly,Performance Issue,Medium"

"T011,E008,Operations,Logistics,2025-01-12,Unable to generate shipment report,Bug/Error,High"
"T012,E001,Engineering,Product,2025-01-13,Getting access denied error for Git repository,Access Issue,High"
"T013,E009,Customer Support,Service,2025-01-14,Support portal loads very slowly,Performance Issue,Medium"
"T014,E010,Engineering,QA,2025-01-15,Test environment throws unexpected error,Bug/Error,High"
"T015,E003,Finance,Corporate,2025-01-15,System shows server timeout error,Server/Downtime,Critical"

"T016,E011,HR,Operations,2025-01-16,Unable to login to attendance system,Login Issue,Medium"
"T017,E012,Sales,Business,2025-01-17,Access denied while viewing sales reports,Access Issue,Medium"
"T018,E005,IT Support,Internal,2025-01-18,VPN disconnects frequently,Performance Issue,Medium"
"T019,E013,Engineering,Platform,2025-01-18,Deployment takes unusually long time,Performance Issue,Medium"
"T020,E004,Sales,Business,2025-01-19,Sales application shows blank screen,Bug/Error,High"

"T021,E014,Marketing,Brand,2025-01-20,Login issue with analytics platform,Login Issue,Medium"
"T022,E002,HR,Operations,2025-01-21,System completely down for all users,Server/Downtime,Critical"
"T023,E015,Finance,Corporate,2025-01-22,Unable to upload financial documents,Access Issue,Medium"
"T024,E016,Operations,Logistics,2025-01-22,Warehouse system extremely slow,Performance Issue,Medium"
"T025,E006,Engineering,Platform,2025-01-23,Code repository access revoked unexpectedly,Access Issue,High"

"T026,E017,Customer Support,Service,2025-01-24,Unable to login to support dashboard,Login Issue,Medium"
"T027,E018,IT Support,Internal,2025-01-24,Request for additional software installation,Feature Request,Low"
"T028,E019,Engineering,QA,2025-01-25,Automation tests running very slow,Performance Issue,Medium"
"T029,E007,Marketing,Brand,2025-01-26,Error while scheduling email campaign,Bug/Error,High"
"T030,E020,Sales,Business,2025-01-27,Login page keeps refreshing continuously,Login Issue,High"

"T031,E021,Finance,Corporate,2025-01-28,Finance portal page not found error,Bug/Error,High"
"T032,E001,Engineering,Product,2025-01-29,Server not responding during deployment,Server/Downtime,Critical"
"T033,E022,Operations,Logistics,2025-01-30,Access denied to logistics dashboard,Access Issue,Medium"
"T034,E023,Marketing,Brand,2025-02-01,Unable to upload campaign creatives,Access Issue,Medium"
"T035,E024,Engineering,QA,2025-02-02,Unable to login to QA tools,Login Issue,Medium"

"T036,E025,Customer Support,Service,2025-02-03,Ticketing tool crashes intermittently,Bug/Error,High"
"T037,E026,IT Support,Internal,2025-02-04,Internal server down during maintenance,Server/Downtime,Critical"
"T038,E009,Customer Support,Service,2025-02-05,Access issues while updating tickets,Access Issue,Medium"
"T039,E027,Engineering,Platform,2025-02-06,Production server crash detected,Server/Downtime,Critical"
"T040,E028,HR,Operations,2025-02-07,HR portal page not found error,Bug/Error,High"

"T041,E029,Sales,Business,2025-02-08,Unable to access customer reports,Access Issue,Medium"
"T042,E030,Finance,Corporate,2025-02-09,Login credentials not working for finance portal,Login Issue,High"
"T043,E031,Marketing,Brand,2025-02-10,Email campaign system not responding,Server/Downtime,Critical"
"T044,E032,Operations,Logistics,2025-02-11,Login failure for inventory system,Login Issue,Medium"
"T045,E033,Engineering,QA,2025-02-12,Access denied for test reports,Access Issue,Medium"

"T046,E034,Customer Support,Service,2025-02-13,Support system unavailable for all agents,Server/Downtime,Critical"
"T047,E035,Engineering,Platform,2025-02-14,Login session expires too quickly,Login Issue,Medium"
"T048,E036,IT Support,Internal,2025-02-15,Unable to login to internal tools,Login Issue,Medium"
"T049,E037,Sales,Business,2025-02-16,Sales system outage affecting all users,Server/Downtime,Critical"
"T050,E038,Engineering,Product,2025-02-17,Application response time is very slow,Performance Issue,Medium"
